
 System Test Results

	Test Arguments		Expected Results		Success	
	{"EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOEOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEEEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOEEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "OEOOEEEEOEOEOEOOOOEOOEOOOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEEOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOOEOOEOEOEOEEOOOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE", "OEOOEEEEOEOEOEOOOEEOOEOOOEOEEOEOEOOOOEO", "EOEEOOOOEOEOEOEEEEOEEOEEEOEOOEEEOEEEEOE"}		{-1}		Passed	


	{"EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEOEEOEEEOOOEOEOE", "EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "OEOOEEEOOOEOOEOOOEEEOEOEO", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEOEEOEEEOOOEOEOE", "EOEEOOOEEEOEEOEEEOOOEOEOE", "EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEOEEOEEEOOOEOEOE", "EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEEEEOEEEOOOEOEOE", "EOEEOOOEEEOEEOEEEOOOEOEOE", "EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEOEEOEEEOOOEOEOE", "OEOOEEEOOOEOOEOOOEEEOEOEO", "EOEEOOOEEEOEEOEEEOOOEOEOE"}		{-1}		Passed	


	{"EEEOOOOO", "EEEOOOOO", "EEEOOOOO", "OOOEEEEE", "OOOEEEEE", "OOOEEEEE", "OOOEEEEE", "OOOEEEEE"}		{0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 1, 3, 2, 3}		Passed	


	{"EEOEEO", "EEOEEO", "OOEOOE", "EEOEEO", "EEOEEO", "OOEOOE"}		{0, 2, 0, 5, 1, 2, 3, 2, 4, 2}		Passed	


	{"EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEEEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOEOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEEEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEEOEOOEOOOOOE", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOEE", "OEEEEOOEOOEOEOOOEEEEOOEOEEEEEOEEOEEOEEEEEO", "EEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEEEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "EOOOOEEEEEOEOEEEOEOEEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOEEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOEOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOEOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOEOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEEOEOEEEEEOEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEEEEOEEOEEEEEO", "OEEEEOOEOOEOEOOOEOEEOOEOEEEEEOEEOEEOEEEEEO", "EOOOOEEOEEOEOEEEOEOOEEOEOOOOOEOOEOOEOOOOOE"}		{-1}		Passed	


	{"EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "OEEEOEOOOOEOEOEOEOOEEO", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE", "EOOOEOEEEEOEOEOEOEEOOE", "EOOOEOEEEEOEOEOEEEEOOE", "EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE", "EOOOEOEEEEOEOEOEOEEOOE", "OEEEOEOOOOEOEOEOEOOEEO", "OEEEOEOOOOEOEOEOEOOEEO", "EOOOEOEEEEOEOEOEOEEOOE"}		{-1}		Passed	


	{"EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "EEOOEEOEOOOEOEOOEEEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOEEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "EEOOEEOEOEOEOEOOEOEEEEOOOEOOO", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "EEOOEEOEOOOEOEOOEOEEEEOOOEOOO", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE", "OOEEOOEOEEEOEOEEOEOOOOEEEOEEE"}		{-1}		Passed	


	{"EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEEOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOEEOEOOOEOEEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEEOOEOOEEEOOOEOEOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOEEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEEEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEEEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOOEEEOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEEEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOEEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "OOOEOOOOOEOEOOOOEOOEOOOEEEOEOEEEOEEOOOEEEOEEEOOE", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "EEEOEEEEEOEOEEEEOEEEEEEOOOEOEOOOEOOEEEOOOEOOOEEO", "OOOEOOOOOEOEOOEOEOOOOOOEEEOEOEEEOEEOOOEEEOEEEOOE"}		{-1}		Passed	


	{"EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEEOOEOEOOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOEOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOEOEEEOOOOOOEEEOOOEOEOOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOOOOOOEEOOOEEEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEEOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOEEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEEOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOOOOOOEEOOOEOEEOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOEOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOEOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "EEEEOOEEEOOOEEEEEEEOOEEEOEOEEEOEOOOEOEOEEEOEOO", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE", "OOOOEEOOOEEEOOOOOOOEEOOOEOEOOOEOEEEOEOEOOOEOEE"}		{-1}		Passed	


	{"EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "OOEOOOOEEOOOEOEOOOOOO", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "OOEOOOOEEOOOEOEOOOOOO", "OOEOOOOEEOOOEOEOOOOOO", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "OOEOOOOEEOOOEOEOOOOOO", "EEOEEEEOOEEEOEOEEEEEE", "OOEOOOOEEOOOEOEOOOOOO", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE", "EEOEEEEOOEEEOEOEEEEEE"}		{0, 2, 0, 7, 0, 8, 0, 12, 0, 14, 1, 2, 3, 2, 4, 2, 5, 2, 6, 2, 9, 2, 10, 2, 11, 2, 13, 2, 15, 2, 16, 2, 17, 2, 18, 2, 19, 2, 20, 2}		Passed	


	{"EOEEEOOOEEOEOE", "OEOOOEEEOOEOEO", "EOEEEOOOEEOEOE", "EOEEEOOOEEOEOE", "EOEEEOOOEEOEOE", "OEOOOEEEOOEOEO", "OEOOOEEEOOEOEO", "OEOOOEEEOOEOEO", "EOEEEOOOEEOEOE", "EOEEEOOOEEOEOE", "EEOOOEEEOOEOEO", "EOEEEOOOEEOEOE", "OEOOOEEEOOEOEO", "EOEEEOOOEEOEOE"}		{-1}		Passed	


